Time / ns                o2,2/real
----------------------------------------------------------------------
                       0                  -5.6695037e-20
            0.0019615726                    6.800882e-19
            0.0039231451                   1.0518073e-17
            0.0058847181                   4.0066329e-17
            0.0078462902                   7.6064042e-17
            0.0098078633                   1.1054745e-16
             0.011769436                   1.4283824e-16
             0.013731008                   1.2889809e-16
              0.01569258                   1.1244883e-16
             0.017654154                   9.3859145e-17
             0.019615727                   7.3547864e-17
             0.021577299                  -2.3766019e-16
             0.023538873                  -6.5997239e-16
             0.025500445                  -1.5324824e-15
             0.027462017                  -3.0698848e-15
             0.029423591                  -5.7633574e-15
             0.031385161                  -1.0254892e-14
             0.033346735                  -1.7325075e-14
             0.035308309                  -2.7877848e-14
             0.037269879                  -4.2865092e-14
             0.039231453                  -6.3963537e-14
             0.041193027                  -9.3079278e-14
             0.043154597                  -1.3161618e-13
             0.045116171                  -1.8137525e-13
             0.047077745                  -2.4336425e-13
             0.049039315                  -3.1870803e-13
             0.051000889                  -4.0857189e-13
             0.052962463                  -5.1397038e-13
             0.054924034                   -6.354046e-13
             0.056885608                  -7.7239549e-13
             0.058847181                  -9.2399287e-13
             0.060808752                  -1.0881939e-12
             0.062770322                  -1.2622372e-12
             0.064731896                  -1.4425866e-12
              0.06669347                  -1.6247275e-12
             0.068655044                  -1.8031242e-12
             0.070616618                  -1.9710986e-12
             0.072578192                  -2.1211843e-12
             0.074539758                  -2.2455512e-12
             0.076501332                  -2.3358136e-12
             0.078462906                  -2.3830751e-12
              0.08042448                  -2.3778655e-12
             0.082386054                  -2.3115893e-12
             0.084347628                  -2.1752307e-12
             0.086309195                  -1.9607246e-12
             0.088270769                  -1.6616662e-12
             0.090232342                  -1.2714332e-12
             0.092193916                  -7.8443339e-13
              0.09415549                   -1.973302e-13
             0.096117064                   4.9094333e-13
             0.098078631                   1.2806099e-12
               0.1000402                   2.1711038e-12
              0.10200178                   3.1616053e-12
              0.10396335                   4.2511194e-12
              0.10592493                   5.4380953e-12
              0.10788649                   6.7225999e-12
              0.10984807                   8.1052214e-12
              0.11180964                   9.5910476e-12
              0.11377122                   1.1189152e-11
              0.11573279                   1.2913387e-11
              0.11769436                   1.4785857e-11
              0.11965593                   1.6837677e-11
               0.1216175                   1.9110467e-11
              0.12357908                   2.1658347e-11
              0.12554064                   2.4548977e-11
              0.12750222                   2.7867823e-11
              0.12946379                   3.1720675e-11
              0.13142537                   3.6232788e-11
              0.13338694                   4.1549604e-11
              0.13534851                   4.7840142e-11
              0.13731009                   5.5296816e-11
              0.13927166                   6.4136377e-11
              0.14123324                   7.4599361e-11
              0.14319481                   8.6948802e-11
              0.14515638                   1.0146938e-10
              0.14711796                   1.1846492e-10
              0.14907952                   1.3825517e-10
              0.15104109                   1.6117044e-10
              0.15300266                   1.8754584e-10
              0.15496424                   2.1771397e-10
              0.15692581                   2.5199667e-10
              0.15888739                   2.9069536e-10
              0.16084896                   3.3407946e-10
              0.16281053                   3.8237355e-10
              0.16477211                   4.3574408e-10
              0.16673368                    4.942855e-10
